contact_name,company,email,sectors,investment_thesis,personalized_message,generated_at,ai_model
Unknown,13th Floor Capital,,"Multi-Unit Restaurant, Food-Service, Multi-Unit Retail, Services Companies, Specialty Snack Retail, Consumer Products Retail flooring, windows, doors, Technology Services, Hospitality Services, Logistics and Supply Chain Companies","The investment philosophy of 13th Floor Capital emphasizes opportunistic, value-oriented strategies focused on cash-flow generative assets with long-term potential. They target attractive entry points and opportunities that allow addition of value through expertise and relationships. The firm aims for a minimum EBITDA of $2M in its investments, favoring companies with the potential for sustainable growth.","Dear Investor,

I was reviewing your profile at 13th Floor Capital and was impressed by your Multi-Unit Restaurant, Food-Service, Multi-Unit Retail, Services Companies, Specialty Snack Retail, Consumer Products Retail flooring, windows, doors, Technology Services, Hospitality Services, Logistics and Supply Chain Companies investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.916098,OpenClaw-DeepSeek-128K
Unknown,1875 FINANCE,,"Real estate, private equity, hedge funds, institutional asset management, wealth management, family office services, corporate finance.","1875 Finance SA's investment thesis is centered on a disciplined and systematic approach that utilizes a quantitative asset allocation model. This model aims to neutralize cognitive biases and manage portfolio risks effectively by focusing on the clients' reference currencies. The firm prioritizes stable performance driven by diverse market dynamics, utilizing both experience and quantitative tools to achieve results.","Dear Investor,

I was reviewing your profile at 1875 FINANCE and was impressed by your Real estate, private equity, hedge funds, institutional asset management, wealth management, family office services, corporate finance. investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.917035,OpenClaw-DeepSeek-128K
Unknown,2M Investment Partners,,"Industrials, Financial Services, Retail, Packaging, Light Manufacturing, Aerospace, Medical Device, Commercial","2M Investment Partners was founded to invest in or acquire small and medium size businesses, specifically focusing on profitable and growing companies. The firm is growth-oriented, seeking situations where entrepreneurial energy and a long-term focus can drive business success. Their unique backing allows for flexibility in structure and financing terms; investment criteria include companies with $5-50 million in revenue, $1-10 million in profit, and positive cash flow, particularly when the owner is seeking retirement or liquidity.","Dear Investor,

I was reviewing your profile at 2M Investment Partners and was impressed by your Industrials, Financial Services, Retail, Packaging, Light Manufacturing, Aerospace, Medical Device, Commercial investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.917726,OpenClaw-DeepSeek-128K
Unknown,3 Capital Partners 源浩資本,,,"Our mission is to empower investors to invest with purpose - and deliver returns in a meaningful and sustainable way, driven by clients' needs and purpose rather than just market performance. We aim to offer deep expertise with unwavering integrity, focusing on a purpose-driven, risk-based approach to asset management.","Dear Investor,

I was reviewing your profile at 3 Capital Partners 源浩資本 and was impressed by your nan investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.918401,OpenClaw-DeepSeek-128K
Unknown,3C Capital,,,,"Dear Investor,

I was reviewing your profile at 3C Capital and was impressed by your nan investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.919316,OpenClaw-DeepSeek-128K
Unknown,3T FAMILY OFFICE,,,,"Dear Investor,

I was reviewing your profile at 3T FAMILY OFFICE and was impressed by your nan investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.920143,OpenClaw-DeepSeek-128K
Unknown,"512 Asset Management, LLC",,Real Estate,We are a private wealth management company focused on real estate investing.,"Dear Investor,

I was reviewing your profile at 512 Asset Management, LLC and was impressed by your Real Estate investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.920907,OpenClaw-DeepSeek-128K
Unknown,ABCapital,,"Energy, Financials, Health, Industrials, Retail & Consumer, Technology Sector",,"Dear Investor,

I was reviewing your profile at ABCapital and was impressed by your Energy, Financials, Health, Industrials, Retail & Consumer, Technology Sector investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.921652,OpenClaw-DeepSeek-128K
Unknown,Abraham Trust,,,,"Dear Investor,

I was reviewing your profile at Abraham Trust and was impressed by your nan investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.922338,OpenClaw-DeepSeek-128K
Unknown,Accent Family Office,,,,"Dear Investor,

I was reviewing your profile at Accent Family Office and was impressed by your nan investment focus.

We've developed an AI-powered system that continuously scans for opportunities matching specific criteria like yours, and I believe there could be interesting alignment.

Could we schedule a brief introductory call to discuss?

Sincerely,
Sam Desigan
Agent Manager, Impact Quadrant",2026-02-23T16:38:32.922996,OpenClaw-DeepSeek-128K
