firm,contact_person,email,phone,location,website,notes
Resource Capital Funds,General Enquiries,enquiries@rcflp.com,+1 720 946 1444,Denver, CO, USA,https://resourcecapitalfunds.com/,Mining-focused private equity
Denham Capital,ESG Team,esg@denhamcapital.com,,Houston, TX, USA,https://www.denhamcapital.com/,Energy transition investment firm
CAI Capital Partners,General Contact,info@caifunds.com,+1 604 637 3411,Vancouver, BC, Canada,https://caifunds.com/,Private equity with mining focus
Sprott Resource Corporation,Investor Relations,info@sprottresource.com,+1 416 945 3298,Toronto, ON, Canada,https://sprottresource.com/,Natural resource investments
Waterton Global Resource Management,General Contact,info@watertonglobal.com,,Toronto, ON, Canada,https://watertonglobal.com/,Mining private equity
Appian Capital Advisory,General Contact,info@appiancapitaladvisory.com,+44 20 7004 0961,London, UK,https://www.appiancapitaladvisory.com/,Mining private equity
Orion Resource Partners,Investor Relations,investorrelations@orionresourcepartners.com,+1 212 596 3490,New York, NY, USA,https://orionresourcepartners.com/,Mining investment firm
Triple Flag Precious Metals,Investor Relations,info@tripleflagpm.com,+1 416 861 9945,Toronto, ON, Canada,https://tripleflagpm.com/,Precious metals streaming
EMX Royalty Corporation,Investor Relations,info@emxroyalty.com,+1 303 973 8585,Vancouver, BC, Canada,https://emxroyalty.com/,Royalty company
Maverix Metals,Investor Relations,info@maverixmetals.com,+1 604 364 1540,Vancouver, BC,Canada,https://maverixmetals.com/,Precious metals royalty
Osisko Gold Royalties,Investor Relations,info@osiskogr.com,+1 514 940 0670,Montreal, QC, Canada,https://osiskogr.com/,Gold royalty company
Franco-Nevada Corporation,Investor Relations,info@franco-nevada.com,+1 416 306 6300,Toronto, ON, Canada,https://www.franco-nevada.com/,Gold royalty company
Wheaton Precious Metals,Investor Relations,info@wheatonpm.com,+1 604 684 9648,Vancouver, BC, Canada,https://www.wheatonpm.com/,Precious metals streaming
GenCap Mining Advisory,General Contact,info@gencapmining.com,,Vancouver, BC, Canada,https://www.gencapmining.com/,Mining advisory firm
Kensington Capital Partners,General Contact,info@kcpl.ca,+1 416 362 2000,Toronto, ON, Canada,https://kcpl.ca/,Investment firm
Mining Journal,Editorial,editorial@mining-journal.com,+44 20 7216 6060,London, UK,https://www.mining-journal.com/,Mining news
Northern Miner,Editorial,editorial@northernminer.com,+1 416 510 6789,Toronto, ON, Canada,https://www.northernminer.com/,Mining news
Mining.com,Editorial,news@mining.com,,Vancouver, BC, Canada,https://www.mining.com/,Mining news
The Assay,Editorial,editorial@theassay.com,,Perth, Australia,https://theassay.com/,Mining news
Kitco Mining,Editorial,news@kitco.com,+1 514 875 9096,Montreal, QC, Canada,https://www.kitco.com/mining/,Mining news
